importance_rank,descriptor,gain_importance,gain_importance_percent
1,fragCpx,934.2438354492188,13.937495513986159
2,piPC3,712.4473876953125,10.628630228188763
3,n6aRing,661.9370727539062,9.875093237958183
4,nRing,634.1573486328125,9.460662052408699
5,ETA_beta_ns,274.7093811035156,4.098245684371205
6,MDEC-23,129.6934356689453,1.9348285846170088
7,ETA_epsilon_3,119.13552856445312,1.777320686440526
8,C2SP2,93.0610580444336,1.3883292881428917
9,BalabanJ,61.368011474609375,0.9155172902140175
10,fMF,58.536014556884766,0.8732682082948093
11,naRing,48.476165771484375,0.7231905818789182
12,GATS2are,46.286197662353516,0.6905195922093875
13,C3SP2,35.30027770996094,0.5266263940489109
14,BCUTm-1l,32.17819595336914,0.48004968802668374
15,NaasC,30.59851837158203,0.45648330377634955
16,n9AHRing,29.225994110107422,0.4360073316465025
17,BCUTs-1l,28.40180206298828,0.4237116412458668
18,ETA_eta_BR,28.134634017944336,0.4197259008128138
19,nFRing,28.11763572692871,0.4194723121930272
20,AATS2p,27.462053298950195,0.4096920205793232
21,ATS1dv,26.630552291870117,0.39728729162493714
22,n5AHRing,25.51124382019043,0.3805889135239983
23,RotRatio,25.393272399902344,0.378828959560531
24,naHRing,23.465967178344727,0.35007650023429393
25,nS,22.393096923828125,0.3340709096250454
26,FilterItLogS,20.231990814208984,0.3018304970419836
27,GATS1se,19.95479393005371,0.29769514159963556
28,GATS1dv,19.88866424560547,0.2967085873989375
29,nBase,19.81508445739746,0.29561088899392096
30,AMID,19.732397079467773,0.2943773192177777
31,SlogP_VSA8,18.848739624023438,0.28119449546895
32,TpiPC10,18.66290855407715,0.2784221788579549
33,SpDiam_A,18.503114700317383,0.27603829786732637
34,SMR_VSA7,18.16766357421875,0.27103387783504085
35,Xch-5d,18.155338287353516,0.2708500033219056
36,ZMIC1,18.140148162841797,0.2706233897931825
37,BCUTdv-1l,18.058019638061523,0.2693981572551
38,ZMIC2,17.820341110229492,0.26585235551712344
39,MWC05,17.800512313842773,0.2655565400670223
40,SMR_VSA9,17.321487426757812,0.2584102181310321
41,AXp-1d,17.284252166748047,0.25785472474733884
42,GATS1p,17.22538185119629,0.2569764692772184
43,ATS2dv,17.183000564575195,0.25634420501199645
44,BCUTi-1l,17.16078758239746,0.2560128211401344
45,GATS2m,17.15114974975586,0.2558690393520081
46,GGI10,16.808116912841797,0.2507515117385229
47,MATS2se,16.635557174682617,0.24817718319041773
48,nC,16.515289306640625,0.24638296972311025
49,SpMAD_D,16.392892837524414,0.2445570007688547
50,MAXdO,15.728415489196777,0.234644010487245
51,GATS2dv,15.702866554260254,0.23426285927965507
52,SlogP_VSA4,15.420733451843262,0.23005386297689323
53,n6Ring,15.126063346862793,0.22565783368514378
54,SpMax_A,15.053543090820312,0.22457594188675778
55,BCUTare-1l,15.052545547485352,0.224561060059093
56,NaaaC,14.997538566589355,0.22374043965959395
57,AXp-6d,14.53780746459961,0.21688195161986173
58,AMID_C,14.368622779846191,0.21435797372960133
59,n5aRing,14.290702819824219,0.2131955265696112
60,MDEC-33,14.260942459106445,0.21275154730182277
61,CIC3,14.225915908813477,0.21222900450404888
62,ETA_shape_y,14.051102638244629,0.2096210566836953
63,SpMAD_Dt,13.914803504943848,0.20758768114846748
64,AATS2i,13.848695755004883,0.20660145417724962
65,n10FRing,13.488141059875488,0.20122252711855912
66,WPol,13.266707420349121,0.19791907437909267
67,PEOE_VSA13,13.159284591674805,0.19631648934086435
68,ATS1s,13.062771797180176,0.1948766654006139
69,NaaCH,13.013236045837402,0.1941376674153718
70,nFaHRing,12.969637870788574,0.19348724902768308
71,AETA_eta_RL,12.769118309020996,0.19049580248390333
72,C1SP3,12.703214645385742,0.1895126201695882
73,Xp-7dv,12.690949440002441,0.18932964198068136
74,SMR_VSA6,12.668031692504883,0.18898774408334676
75,TMPC10,12.53701400756836,0.1870331597160037
76,Xc-4d,12.172534942626953,0.1815956870350948
77,n10FHRing,11.6725435256958,0.17413657639813912
78,BCUTp-1h,11.615488052368164,0.17328539561066308
79,PEOE_VSA6,11.543357849121094,0.17220932280607718
80,Radius,11.518013954162598,0.1718312304827587
81,NssNH,11.456974029541016,0.1709206077488358
82,ATSC1p,11.418357849121094,0.17034451313525867
83,AATS1p,11.307626724243164,0.16869257335499488
84,EState_VSA3,11.234787940979004,0.1676059296154616
85,GATS4dv,11.23299789428711,0.16757922484440352
86,Xpc-4d,11.193692207336426,0.1669928438432531
87,AXp-5d,11.146663665771484,0.16629124961033478
88,AATS8d,11.075836181640625,0.165234611391399
89,GGI6,10.830763816833496,0.16157850486385747
90,nHRing,10.746786117553711,0.16032568545785722
91,GGI2,10.719794273376465,0.15992300824141759
92,LogEE_Dt,10.716083526611328,0.1598676495497889
93,ETA_eta_F,10.578842163085938,0.15782021737428117
94,Xch-6dv,10.524452209472656,0.15700880208233384
95,Xch-7dv,10.509790420532227,0.15679007051587296
96,GATS1i,10.506783485412598,0.15674521162234806
97,AATS7d,10.39714527130127,0.1551095764066195
98,n9FARing,10.178418159484863,0.15184650093953603
99,SlogP_VSA10,10.085735321044922,0.15046381411200233
100,VSA_EState2,10.064637184143066,0.15014906203415565
101,Xch-6d,10.034564018249512,0.14970041618943222
102,AATS4d,9.996830940246582,0.14913749611927535
103,ATSC1v,9.85499095916748,0.14702145957187515
104,AATS3d,9.854635238647461,0.14701615276334845
105,RNCG,9.715428352355957,0.144939397980941
106,ATSC1i,9.700921058654785,0.1447229712482102
107,SlogP_VSA2,9.650383949279785,0.14396903452582852
108,Xc-5d,9.635214805603027,0.1437427339992169
109,AATS3Z,9.493234634399414,0.14162460602861718
110,AXp-2d,9.483856201171875,0.14148469408477846
111,nFAHRing,9.47581958770752,0.14136480004870677
112,GATS1s,9.440519332885742,0.1408381739961147
113,ATS8d,9.418352127075195,0.14050747303795047
114,MINdO,9.412612915039062,0.14042185273308758
115,CIC0,9.3484525680542,0.13946467804876406
116,Xc-4dv,9.312986373901367,0.1389355764340174
117,PEOE_VSA7,9.255608558654785,0.1380795867959193
118,ATS3s,9.247047424316406,0.13795186770706022
119,AATS3p,9.15347957611084,0.1365559778813689
120,ATSC4dv,9.104789733886719,0.13582959957216756
121,Xch-7d,9.09389877319336,0.1356671230215637
122,IC5,9.062524795532227,0.13519907104592752
123,SRW09,9.024435997009277,0.13463084416724388
124,ATSC2c,8.93197250366211,0.1332514296345122
125,AATS3v,8.916555404663086,0.13302142999203742
126,AXp-0dv,8.910794258117676,0.13293548245769438
127,SpMAD_A,8.89565658569336,0.13270965143424998
128,AATSC0m,8.890466690063477,0.13263222609376082
129,NdCH2,8.77822494506836,0.13095775016146932
130,GGI1,8.764986038208008,0.13076024582911533
131,MINaasC,8.764527320861816,0.13075340246476852
132,AATS3i,8.763650894165039,0.13074032751292922
133,NaaN,8.738542556762695,0.1303657493496807
134,PEOE_VSA2,8.715779304504395,0.13002615628607622
135,MAXaasC,8.711991310119629,0.12996964517758247
136,VSA_EState4,8.696023941040039,0.12973143634336531
137,IC1,8.678203582763672,0.12946558373175554
138,C1SP2,8.640094757080078,0.12889705807832913
139,n5HRing,8.632962226867676,0.12879065158778918
140,Xpc-6dv,8.625232696533203,0.12867533876444032
141,ZMIC3,8.61913776397705,0.12858441165105072
142,GATS2d,8.57653522491455,0.12794884663628933
143,BIC0,8.557413101196289,0.1276635736663981
144,AATS7v,8.523388862609863,0.1271559838331325
145,JGI6,8.510883331298828,0.12696942034731215
146,ATSC4d,8.478570938110352,0.12648736864087087
147,GATS4m,8.476386070251465,0.12645477373916916
148,ATS7dv,8.469566345214844,0.12635303382556426
149,n6HRing,8.466943740844727,0.12631390856162725
150,SLogP,8.451830863952637,0.1260884474497692
151,GATS5m,8.432775497436523,0.12580417039568728
152,GGI5,8.423733711242676,0.12566928071300118
153,IC3,8.30855941772461,0.12395105562194375
154,AXp-3d,8.286261558532715,0.12361840551426702
155,CIC5,8.282437324523926,0.1235613537657625
156,AXp-4d,8.248940467834473,0.1230616316673904
157,TSRW10,8.227676391601562,0.12274440402738918
158,ATS6s,8.166921615600586,0.12183803527670892
159,Xpc-6d,8.138101577758789,0.12140808419446301
160,GATS2c,8.128279685974121,0.12126155652417676
161,MAXaaCH,8.097440719604492,0.12080148610238371
162,IC2,8.06712532043457,0.12034922650600936
163,SaasC,8.06547737121582,0.12032464161288822
164,ATSC3d,8.060086250305176,0.12024421429760244
165,ATSC5dv,8.007525444030762,0.11946008709883009
166,AATS7i,7.913396835327148,0.1180558315803406
167,AATS5i,7.8867573738098145,0.1176584113766372
168,VE1_A,7.852828502655029,0.11715224428024203
169,ATS8Z,7.850500106811523,0.11711750815955031
170,SM1_Dzi,7.848052501678467,0.11708099361777058
171,AETA_beta,7.846141338348389,0.11705248197088702
172,AXp-7d,7.839934825897217,0.11695989025535902
173,ATSC1d,7.805795192718506,0.11645057891048016
174,GGI4,7.779996871948242,0.11606570724597404
175,AATS5dv,7.778144359588623,0.11603807058226581
176,Xp-2dv,7.74497652053833,0.1155432569260967
177,ABCGG,7.743959426879883,0.11552808343737352
178,SpMAD_Dzp,7.735565185546875,0.11540285413803768
179,SddssS,7.723045349121094,0.11521607724168678
180,AATSC8dv,7.698812007904053,0.11485455268922452
181,AATS8dv,7.681530475616455,0.11459673854093275
182,AATS4p,7.665701389312744,0.11436059267517769
183,GATS4are,7.665036678314209,0.11435067619919073
184,ATS4Z,7.662652015686035,0.11431510066374548
185,EState_VSA7,7.655838966369629,0.1142134603417215
186,Vabc,7.644704818725586,0.11404735581209803
187,AATS1d,7.643675804138184,0.11403200448126603
188,ATS6se,7.637645721435547,0.11394204482894833
189,Si,7.590036392211914,0.11323178612848903
190,MIC0,7.576253890991211,0.11302617219597355
191,AATS1s,7.570714473724365,0.11294353252485426
192,MATS1s,7.569076061248779,0.11291908990542016
193,ATS8dv,7.56571102142334,0.1128688886349468
194,AATSC7d,7.531993865966797,0.11236588001440398
195,AATS8m,7.525949478149414,0.11227570695155573
196,ATSC8d,7.522060394287109,0.11221768774197932
197,GGI9,7.506608486175537,0.11198716880054685
198,RPCG,7.502558708190918,0.11192675227934376
199,GGI3,7.495523929595947,0.111821804094096
200,VSA_EState8,7.477255821228027,0.11154927173287955
201,JGI1,7.470292091369629,0.11144538348660028
202,MATS8d,7.44317102432251,0.11104077846170121
203,GATS1Z,7.440007209777832,0.11099357916602448
204,ATS2s,7.427829742431641,0.11081190989503845
205,AATSC3d,7.417541980743408,0.11065843215514011
206,GATS1are,7.414036273956299,0.11060613234778287
207,AATS2d,7.413859844207764,0.11060350028457257
208,AATS8p,7.381923198699951,0.11012705416140078
209,ATSC1dv,7.362880229949951,0.10984296206311205
210,ETA_dEpsilon_B,7.359293460845947,0.10978945292941492
211,ATS7s,7.352199554443359,0.1096836226473075
212,VE3_A,7.3488545417785645,0.10963372015157694
213,JGI7,7.336805820465088,0.109453971575366
214,n6aHRing,7.324883460998535,0.10927610812550839
215,ATS0Z,7.322915077209473,0.10924674283650257
216,ATS4dv,7.321349143981934,0.10922338149709
217,AATS8v,7.30714750289917,0.10901151463602896
